,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,avg_laptime,lap_deviation,avg_pitstop,pit_dev,race_position,circuitId,constructorId,q1,q2,q3,starting_position
124,1,Lewis,Hamilton,354,2010,71,73.851,66.0,210.049,78.96390140845068,8.371657934713715,,,4.0,18.0,1.0,1:19.931,1:18.921,1:15.747,4.0
125,1,Lewis,Hamilton,355,2010,55,101.274,47.0,197.428,108.85452727272732,14.444551415229393,,,2.0,24.0,1.0,1:40.335,1:40.119,1:39.425,2.0
126,1,Lewis,Hamilton,36,2007,58,86.351,20.0,221.083,88.74767241379311,4.088674470521261,,,3.0,1.0,1.0,1:26.674,1:25.577,1:26.755,4.0
127,1,Lewis,Hamilton,37,2007,56,96.701,22.0,206.355,99.15155357142858,4.402594474417197,,,2.0,2.0,1.0,1:35.028,1:34.650,1:36.045,4.0
128,1,Lewis,Hamilton,38,2007,57,94.27000000000001,18.0,206.674,98.41885964912281,12.092632867102239,,,2.0,3.0,1.0,1:32.580,1:31.752,1:32.935,2.0
129,1,Lewis,Hamilton,39,2007,65,82.876,20.0,202.205,84.66184615384616,4.051535670392344,,,2.0,4.0,1.0,1:21.120,1:20.713,1:21.785,4.0
130,1,Lewis,Hamilton,4,2009,57,94.91499999999999,13.0,205.269,97.0224210526316,4.439437934771892,,,4.0,3.0,1.0,1:32.851,1:32.877,1:34.196,5.0
131,1,Lewis,Hamilton,40,2007,78,75.372,28.0,159.528,77.35158974358977,2.85136802179894,,,2.0,6.0,1.0,1:15.685,1:15.479,1:15.905,2.0
132,1,Lewis,Hamilton,41,2007,70,76.494,37.0,205.239,89.30417142857142,20.05314646457275,,,1.0,7.0,1.0,1:16.576,1:15.486,1:15.707,1.0
133,1,Lewis,Hamilton,42,2007,73,73.222,20.0,206.101,74.93102739726027,3.6713228162967613,,,1.0,19.0,1.0,1:12.563,1:12.065,1:12.331,1.0
134,1,Lewis,Hamilton,43,2007,70,76.587,39.0,207.34,78.3764714285714,4.197140419627439,,,3.0,8.0,1.0,1:14.805,1:14.795,1:15.104,2.0
135,1,Lewis,Hamilton,44,2007,59,81.675,11.0,226.6,83.77028813559325,4.212735645924512,,,3.0,9.0,1.0,1:19.885,1:19.400,1:19.997,1.0
136,1,Lewis,Hamilton,45,2007,59,93.40100000000001,29.0,198.421,128.79693220338987,178.61019300400062,,,9.0,20.0,1.0,1:31.587,1:31.185,1:33.833,10.0
137,1,Lewis,Hamilton,46,2007,70,80.17099999999999,13.0,196.724,82.18558571428571,3.9332034275754806,,,1.0,11.0,1.0,1:19.570,1:19.301,1:19.781,2.0
138,1,Lewis,Hamilton,47,2007,58,87.963,17.0,218.464,90.46975862068963,5.781617127359829,,,5.0,5.0,1.0,1:27.513,1:26.936,1:27.373,2.0
139,1,Lewis,Hamilton,48,2007,53,82.936,17.0,251.456,89.12958490566037,15.708104856109697,,,2.0,14.0,1.0,1:21.956,1:21.746,1:22.034,2.0
140,1,Lewis,Hamilton,49,2007,44,108.215,41.0,233.002,110.51547727272727,4.084528634036264,,,4.0,13.0,1.0,1:46.437,1:45.132,1:46.406,4.0
141,1,Lewis,Hamilton,5,2009,65,83.839,29.0,199.883,89.84947692307695,13.800859999366537,,,9.0,4.0,1.0,1:20.991,1:20.805,,14.0
142,1,Lewis,Hamilton,50,2007,67,88.193,27.0,186.259,107.97879104477612,21.323846853995317,,,1.0,16.0,1.0,1:25.489,1:24.753,1:25.368,1.0
143,1,Lewis,Hamilton,51,2007,30,103.131,22.0,190.278,107.90433333333334,5.6319981897365174,,,,,1.0,1:35.798,1:35.898,1:35.908,1.0
144,1,Lewis,Hamilton,52,2007,70,72.506,58.0,213.946,75.70500000000001,5.314683722712365,,,7.0,18.0,1.0,1:13.033,1:12.296,1:12.082,2.0
145,1,Lewis,Hamilton,6,2009,77,75.706,65.0,158.824,79.05041558441556,5.071578920422094,,,12.0,6.0,1.0,1:16.264,,,16.0
146,1,Lewis,Hamilton,7,2009,58,88.562,53.0,216.986,90.78106896551728,3.8607869930477423,,,13.0,5.0,1.0,1:28.318,,,16.0
147,1,Lewis,Hamilton,8,2009,59,82.576,24.0,224.128,85.29359322033896,4.32079236873821,,,16.0,9.0,1.0,1:19.917,,,19.0
148,1,Lewis,Hamilton,841,2011,58,90.314,41.0,211.382,92.97510344827582,4.2649723377464355,23.213,0.019798989873222407,2.0,1.0,1.0,1:25.384,1:24.595,1:24.307,2.0
